episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
407.64194550065776,103.15871123457697,256.4745600689302,1500.0,20,30000,False,60000,39,2,469f5c8587314acd8cfbc8cac3249380,2020-07-16_13-10-11,1594872611,56.86511754989624,115.29570603370667,7288,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,115.29570603370667,60000,2,2,702cb9a8,0,3.115369002430772,0.0882334976412147,0.3561461507887698,59904,60000,54284.588,31.518,3047.92,258.577,7.138271604938272,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,13.45377,-0.0011162835,13.454786,3.5946694e-05,0.0009999382,1.42822,0.0
439.9551394135462,103.15871123457697,268.78895342933174,1500.0,20,30000,False,90000,59,3,469f5c8587314acd8cfbc8cac3249380,2020-07-16_13-11-09,1594872669,57.61898756027222,172.91469359397888,7288,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,172.91469359397888,90000,3,2,702cb9a8,0,3.124689625087624,0.08832550539586939,0.35643756557355655,89856,90000,54411.277,22.923,3011.574,173.309,7.140243902439025,3.1999999999999997,0.05000000074505806,4.999999873689376e-05,14.75401,-0.001420168,14.755139,6.588351e-06,0.0058289277,1.417109,0.0
375.906281343462,105.28131162789057,214.45518290638103,1500.0,20,30000,False,30000,20,1,b1edd71c3cb3490d8501bb61beb979a7,2020-07-16_13-12-32,1594872752,59.312140703201294,59.312140703201294,7586,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,59.312140703201294,30000,1,2,702cb9a8,0,3.159269675613443,0.09020385197993637,0.3611535423954728,29952,30000,55503.898,51.872,3208.668,503.45,7.238823529411762,3.1964705882352935,0.20000000298023224,4.999999873689376e-05,8.704612,-0.0005185189,8.704971,0.00037190344,0.0007988264,1.4366124,0.0
375.906281343462,105.28131162789057,222.07901209230977,1500.0,20,30000,False,60000,40,2,b1edd71c3cb3490d8501bb61beb979a7,2020-07-16_13-13-29,1594872809,56.89002275466919,116.20216345787048,7586,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,116.20216345787048,60000,2,2,702cb9a8,0,3.154449153443807,0.08989063938572465,0.35929309822437927,59904,60000,54720.682,30.316,3071.013,253.301,7.271604938271605,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,8.796201,-0.001520641,8.79747,0.0003147724,0.0025252923,1.4124321,0.0
455.40013743927517,105.28131162789057,263.8713870593284,1500.0,20,30000,False,90000,60,3,b1edd71c3cb3490d8501bb61beb979a7,2020-07-16_13-14-27,1594872867,58.17724132537842,174.3794047832489,7586,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,174.3794047832489,90000,3,2,702cb9a8,0,3.160475600452393,0.08971971012494956,0.35821053584814017,89856,90000,54884.036,23.099,3029.949,169.779,7.459036144578312,3.1999999999999997,0.05000000074505806,4.999999873689376e-05,16.653025,-0.0023230624,16.655014,5.935629e-05,0.0066554947,1.3920661,0.0
430.07715919182107,100.22240128680666,200.841599036196,1500.0,20,30000,False,30000,20,1,131b804430a1457bbf9161664177b5c0,2020-07-16_13-17-09,1594873029,59.192654848098755,59.192654848098755,8180,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,59.192654848098755,30000,1,2,702cb9a8,0,3.142754623599231,0.0898020004131072,0.36743252875447147,29952,30000,55378.565,52.239,3201.816,514.68,7.650588235294118,3.1964705882352935,0.20000000298023224,4.999999873689376e-05,9.240316,-0.001637786,9.241462,0.0021070496,0.0024665294,1.4293033,0.0
430.07715919182107,100.22240128680666,243.41557121515345,1500.0,19,30000,False,60000,39,2,131b804430a1457bbf9161664177b5c0,2020-07-16_13-18-06,1594873086,57.43640899658203,116.62906384468079,8180,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,116.62906384468079,60000,2,2,702cb9a8,0,3.145416767448767,0.08959111115785598,0.3652731744175372,59904,60000,54939.567,30.685,3058.742,258.61,7.417073170731708,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,10.40918,-0.00024139792,10.4093685,-3.7415415e-05,0.0005245565,1.4381635,0.0
430.07715919182107,100.22240128680666,263.2715504882712,1500.0,20,30000,False,90000,59,3,131b804430a1457bbf9161664177b5c0,2020-07-16_13-19-04,1594873144,57.82981491088867,174.45887875556946,8180,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,174.45887875556946,90000,3,2,702cb9a8,0,3.1500202261301293,0.08952154458970672,0.36483956160296444,89856,90000,54905.804,22.892,3030.313,173.322,7.462650602409639,3.1999999999999997,0.05000000074505806,4.999999873689376e-05,13.512324,-0.0018129677,13.513786,-4.5457455e-06,0.007011848,1.431599,0.0
309.30212299123457,107.90659678479471,170.88119087261515,1500.0,20,30000,False,30000,20,1,7ac5df12254d4e3e9a5dfda1f58fcafe,2020-07-16_13-20-38,1594873238,58.748419523239136,58.748419523239136,8464,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,58.748419523239136,30000,1,2,702cb9a8,0,3.126091388422412,0.08877473913441576,0.3564232357755739,29952,30000,55083.486,51.177,3047.454,523.296,7.428571428571429,3.1999999999999993,0.20000000298023224,4.999999873689376e-05,6.0112686,-0.00075368915,6.011963,0.14574136,0.0002933931,1.4294554,0.0
412.9929729033876,102.67697754541733,194.94341572887535,1500.0,20,30000,False,60000,40,2,7ac5df12254d4e3e9a5dfda1f58fcafe,2020-07-16_13-21-35,1594873295,56.34117031097412,115.08958983421326,8464,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,115.08958983421326,60000,2,2,702cb9a8,0,3.123084721521161,0.08875275309762116,0.35428622795864084,59904,60000,54255.901,29.551,2970.83,262.97,7.330864197530864,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,6.122873,-0.00080809585,6.1234484,0.52277166,0.002317396,1.4164572,0.0
